"source","target"
"379676999","61141654"
"379676999","268823894"
"379676999","519479294"
"379676999","259738221"
"379676999","80324287"
"379676999","226087776"
"379676999","83747190"
"379676999","56341402"
"379676999","21396136"
"379676999","116757352"
"379676999","67613844"
"379676999","229454266"
"379676999","82322622"
"379676999","20499863"
"379676999","23440052"
"379676999","273026150"
"379676999","135845705"
"379676999","36484718"
"379676999","39607762"
"379676999","14903342"
"379676999","74659115"
"379676999","188721776"
"379676999","188650537"
"379676999","109396836"
"379676999","58433829"
"379676999","72069510"
"379676999","41340982"
"379676999","25145801"
"379676999","3146151"
"379676999","14698389"
"121744424","379676999"
"585730008","379676999"
"39607762","379676999"
"14903342","379676999"
"61141654","35740028"
"61141654","464203309"
"61141654","315357209"
"61141654","168262303"
"61141654","820319701"
"61141654","110973135"
"61141654","511829725"
"61141654","392391307"
"61141654","267220090"
"61141654","145135352"
"61141654","26128768"
"61141654","1083794220"
"61141654","277232792"
"61141654","401309740"
"61141654","59202400"
"61141654","321317369"
"61141654","112836727"
"61141654","415315500"
"61141654","74461072"
"61141654","27930155"
"61141654","61698439"
"61141654","557379987"
"61141654","1143472657"
"61141654","187860483"
"61141654","250062140"
"61141654","171640621"
"61141654","109837932"
"61141654","156403086"
"61141654","134402553"
"61141654","45140678"
"61141654","459138552"
"61141654","578359011"
"61141654","146430315"
"61141654","41139304"
"61141654","613256734"
"61141654","44864403"
"61141654","20004342"
"61141654","299594000"
"61141654","360626942"
"61141654","24856699"
"61141654","260887278"
"61141654","294058607"
"61141654","107324539"
"61141654","252055463"
"61141654","233606593"
"61141654","245364007"
"61141654","110918338"
"61141654","465607495"
"61141654","464616318"
"61141654","227346025"
"61141654","1026860154"
"61141654","117299815"
"61141654","125175029"
"61141654","562062030"
"61141654","114735142"
"61141654","301521704"
"61141654","251359840"
"61141654","299857518"
"61141654","57303561"
"61141654","19709978"
"61141654","550110547"
"61141654","217045848"
"61141654","46359372"
"61141654","196097513"
"61141654","51175150"
"61141654","319790802"
"61141654","89946786"
"61141654","21643140"
"61141654","186009251"
"61141654","73739932"
"61141654","216857826"
"61141654","288112125"
"61141654","268497470"
"61141654","46762528"
"61141654","38358551"
"61141654","543582006"
"61141654","238979122"
"61141654","270830185"
"61141654","84053877"
"61141654","459988470"
"61141654","555076123"
"61141654","277501982"
"61141654","319090253"
"61141654","145300676"
"61141654","229447010"
"61141654","429334860"
"61141654","517484918"
"61141654","407952890"
"61141654","554435233"
"61141654","111063044"
"61141654","172367543"
"61141654","68388067"
"61141654","46880833"
"61141654","366818661"
"61141654","31604067"
"61141654","513301859"
"61141654","899853912"
"61141654","22466547"
"61141654","179114544"
"61141654","41785723"
"61141654","175599717"
"61141654","250256547"
"61141654","138456571"
"61141654","52686916"
"61141654","11856342"
"61141654","17866834"
"61141654","519617918"
"61141654","123744517"
"61141654","50300531"
"61141654","47134295"
"61141654","545902204"
"61141654","542838911"
"61141654","340793734"
"61141654","117365392"
"61141654","47720230"
"61141654","57016932"
"61141654","419312513"
"61141654","26123613"
"61141654","307869534"
"61141654","919947943"
"61141654","34576430"
"61141654","72861485"
"61141654","201194921"
"61141654","272609335"
"61141654","278392569"
"61141654","374930639"
"61141654","19729250"
"61141654","103221874"
"61141654","60706671"
"61141654","255121079"
"61141654","50003640"
"61141654","615303059"
"61141654","62325140"
"61141654","202589921"
"61141654","111145984"
"61141654","175226057"
"61141654","200279198"
"61141654","33716898"
"61141654","65328210"
"61141654","51405063"
"61141654","46715437"
"61141654","19918839"
"61141654","20571946"
"61141654","336761705"
"61141654","90636188"
"61141654","68674747"
"61141654","25411867"
"61141654","562852503"
"61141654","260017287"
"61141654","115379139"
"61141654","116911722"
"61141654","100577547"
"61141654","23774737"
"61141654","17870817"
"61141654","271972038"
"61141654","328499550"
"61141654","157993435"
"61141654","146813134"
"61141654","122771847"
"61141654","257012458"
"61141654","607281049"
"61141654","528793939"
"61141654","207071479"
"61141654","26106310"
"61141654","531350109"
"61141654","43104208"
"61141654","27847026"
"61141654","156329112"
"61141654","584922567"
"61141654","494798513"
"61141654","296527255"
"61141654","430554250"
"61141654","110708958"
"61141654","254033031"
"61141654","246964984"
"61141654","252699501"
"61141654","86600252"
"61141654","227256038"
"61141654","134771921"
"61141654","297496619"
"61141654","487468351"
"61141654","150656251"
"61141654","24180138"
"61141654","491444202"
"61141654","243776531"
"61141654","140409019"
"61141654","300917513"
"61141654","483831750"
"61141654","53764928"
"61141654","104094630"
"61141654","321916394"
"61141654","71531621"
"61141654","200063507"
"61141654","217461138"
"61141654","153486432"
"61141654","470336591"
"61141654","34044910"
"61141654","119213716"
"61141654","243221966"
"61141654","301426313"
"61141654","440192971"
"61141654","266714659"
"61141654","704729084"
"61141654","552056960"
"61141654","493558250"
"61141654","186113486"
"61141654","501836993"
"61141654","161711473"
"61141654","595112123"
"61141654","575612131"
"61141654","343923729"
"61141654","67606740"
"61141654","125481462"
"61141654","43311155"
"61141654","16874201"
"61141654","402784738"
"61141654","18818568"
"61141654","515797205"
"61141654","89084561"
"61141654","124249585"
"61141654","374570737"
"61141654","170411128"
"61141654","351082797"
"61141654","19341255"
"61141654","490459748"
"61141654","612619891"
"61141654","353736540"
"61141654","342002844"
"61141654","462827597"
"61141654","18280709"
"61141654","26017853"
"61141654","726288434"
"61141654","22903129"
"61141654","106514318"
"61141654","274680752"
"61141654","62873433"
"61141654","515933811"
"61141654","375759378"
"61141654","107117934"
"61141654","588220902"
"61141654","86740435"
"61141654","282489947"
"61141654","15197472"
"61141654","246618596"
"61141654","288477764"
"61141654","170863272"
"61141654","38678480"
"61141654","55259613"
"61141654","259738221"
"61141654","38828595"
"61141654","594802359"
"61141654","229881539"
"61141654","298151744"
"61141654","485761371"
"61141654","224651027"
"61141654","587246028"
"61141654","126977295"
"61141654","361957048"
"61141654","69866192"
"61141654","66787826"
"61141654","491201674"
"61141654","32124771"
"61141654","131740098"
"61141654","112382736"
"61141654","342775856"
"61141654","21295582"
"61141654","315090368"
"61141654","111182880"
"61141654","33302731"
"61141654","45112174"
"61141654","187809340"
"61141654","158702607"
"61141654","246833549"
"61141654","191111826"
"61141654","44239472"
"61141654","63027465"
"61141654","368347555"
"61141654","153816750"
"61141654","30080853"
"61141654","30082130"
"61141654","276266019"
"61141654","322711543"
"61141654","486398333"
"61141654","106358290"
"61141654","467418826"
"61141654","23105773"
"61141654","250627196"
"61141654","20524917"
"61141654","587477059"
"61141654","116209941"
"61141654","123215085"
"61141654","59806658"
"61141654","358754112"
"61141654","37014098"
"61141654","287077661"
"61141654","430744802"
"61141654","313925523"
"61141654","83870452"
"61141654","258730549"
"61141654","38272869"
"61141654","234063426"
"61141654","534046512"
"61141654","216420405"
"61141654","162338476"
"61141654","594551707"
"61141654","309446385"
"61141654","155215031"
"61141654","156635674"
"61141654","429884655"
"61141654","252284393"
"61141654","26119152"
"61141654","296470460"
"61141654","25126864"
"61141654","17781576"
"61141654","162887634"
"61141654","194583201"
"61141654","27711339"
"61141654","21302878"
"61141654","258922395"
"61141654","121765491"
"61141654","215997034"
"61141654","70656063"
"61141654","28247294"
"61141654","25074940"
"61141654","118709332"
"61141654","15910142"
"61141654","173192481"
"61141654","151852152"
"61141654","321021481"
"61141654","70981586"
"61141654","109038009"
"61141654","86105375"
"61141654","77180947"
"61141654","148720585"
